City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,road town,18.4167,-64.6167,31.05,79,40,6.69,VG,1696028303
332,muravlenko,63.7898,74.523,-1.15,86,7,6.25,RU,1696028560
333,nyurba,63.2842,118.3319,5.22,89,99,2.82,RU,1696027977
334,fengxian,34.7039,116.5872,16.8,94,2,1.7,CN,1696028561
335,tobruk,32.0836,23.9764,23.71,75,0,3.61,LY,1696028561
336,gaoual,11.75,-13.2,25.14,92,90,0.85,GN,1696028561
337,pisco,-13.7,-76.2167,20.03,77,0,3.6,PE,1696027990
338,nemuro,43.3236,145.575,16.42,76,95,4.75,JP,1696027984
339,rychnov nad kneznou,50.1628,16.2749,19.94,66,88,2.09,CZ,1696028561
340,taikang,46.8333,124.4167,10.46,74,84,4.37,CN,1696028561
341,puerto aysen,-45.4,-72.7,6.47,100,93,0.53,CL,1696028329
342,rosario del tala,-32.3029,-59.1455,16.82,45,32,5.82,AR,1696028562
343,praia da vitoria,38.7333,-27.0667,22.14,88,20,3.93,PT,1696027974
344,cidade velha,14.9167,-23.6167,26.26,89,20,3.6,CV,1696028562
345,nova vicosa,-17.8919,-39.3719,23.68,76,68,6.65,BR,1696028021
346,kargasok,59.0556,80.8572,2.91,95,87,6.14,RU,1696028562
347,usakos,-22.0,15.6,20.64,29,0,1.15,NA,1696028562
348,kilindoni,-7.9139,39.6668,25.2,80,3,5.43,TZ,1696028562
349,ulladulla,-35.35,150.4667,21.17,28,1,2.19,AU,1696028043
350,upper grand lagoon,30.1633,-85.7408,28.08,71,0,2.06,US,1696028562
351,mondragon,12.5157,124.7523,26.51,90,96,3.02,PH,1696028562
352,luderitz,-26.6481,15.1594,14.29,74,4,3.26,NA,1696028563
353,peniche,39.3558,-9.3811,20.62,90,3,5.9,PT,1696028563
354,envira,-7.3,-70.2167,27.44,70,58,0.43,BR,1696028563
355,kenai,60.5544,-151.2583,11.05,54,0,3.6,US,1696027999
356,alofi,-19.0595,-169.9187,23.94,94,75,4.63,NU,1696028563
357,baihar,22.1,80.55,22.02,95,100,0.8,IN,1696028563
358,polyarnyy,69.1989,33.4478,10.3,94,100,4.53,RU,1696027995
359,bel ombre,-4.6167,55.4167,23.91,88,75,7.2,SC,1696028270
360,carutapera,-1.195,-46.02,26.3,80,21,4.34,BR,1696028564
361,westport,41.1415,-73.3579,16.42,92,100,8.75,US,1696027994
362,ta`u,-14.2336,-169.5144,26.9,79,44,5.53,AS,1696028020
363,cannonvale,-20.2833,148.7,23.66,68,25,6.23,AU,1696028001
